measurements,state,commands,estimates,time
0.0,"[0.0, 0.0]",20.0,"[0.0, 0.0]",0.0
0.0,"[0.0, 2.0]",20.0,"[0.0, 0.0]",0.1
0.2,"[0.2, 4.0]",19.6,"[0.2, 0.0]",0.2
0.6000000000000001,"[0.6000000000000001, 5.96]",18.8,"[0.6000000000000001, 0.0]",0.30000000000000004
1.1960000000000002,"[1.1960000000000002, 7.84]",17.608,"[1.1960000000000002, 0.0]",0.4
1.9800000000000002,"[1.9800000000000002, 9.6008]",16.04,"[1.9800000000000002, 0.0]",0.5
2.94008,"[2.94008, 11.204799999999999]",14.11984,"[2.94008, 0.0]",0.6
4.06056,"[4.06056, 12.616783999999999]",11.87888,"[4.06056, 0.0]",0.7
5.3222384,"[5.3222384, 13.804672]",9.3555232,"[5.3222384, 0.0]",0.7999999999999999
6.7027056,"[6.7027056, 14.74022432]",6.5945888,"[6.7027056, 0.0]",0.8999999999999999
8.176728032,"[8.176728032, 15.3996832]",3.6465439360000005,"[8.176728032, 0.0]",0.9999999999999999
9.716696352,"[9.716696352, 15.7643375936]",0.5666072960000008,"[9.716696352, 0.0]",1.0999999999999999
11.29313011136,"[11.29313011136, 15.820998323200001]",-2.58626022272,"[11.29313011136, 0.0]",1.2
12.87522994368,"[12.87522994368, 15.562372300928]",-5.750459887360002,"[12.87522994368, 0.0]",1.3
14.431467173772802,"[14.431467173772802, 14.987326312192]",-8.862934347545604,"[14.431467173772802, 0.0]",1.4000000000000001
15.930199804992002,"[15.930199804992002, 14.10103287743744]",-11.860399609984004,"[15.930199804992002, 0.0]",1.5000000000000002
17.340303092735745,"[17.340303092735745, 12.91499291643904]",-14.68060618547149,"[17.340303092735745, 0.0]",1.6000000000000003
18.63180238437965,"[18.63180238437965, 11.446932297891891]",-17.2636047687593,"[18.63180238437965, 0.0]",1.7000000000000004
19.77649561416884,"[19.77649561416884, 9.72057182101596]",-19.55299122833768,"[19.77649561416884, 0.0]",1.8000000000000005
20.748552796270438,"[20.748552796270438, 7.7652726981821925]",-21.497105592540876,"[20.748552796270438, 0.0]",1.9000000000000006
21.52508006608866,"[21.52508006608866, 5.615562138928105]",-23.050160132177318,"[21.52508006608866, 0.0]",2.0000000000000004
22.08663627998147,"[22.08663627998147, 3.310546125710373]",-24.17327255996294,"[22.08663627998147, 0.0]",2.1000000000000005
22.417690892552507,"[22.417690892552507, 0.893218869714079]",-24.835381785105014,"[22.417690892552507, 0.0]",2.2000000000000006
22.507012779523915,"[22.507012779523915, -1.5903193087964227]",-25.01402555904783,"[22.507012779523915, 0.0]",2.3000000000000007
22.347980848644273,"[22.347980848644273, -4.091721864701206]",-24.695961697288546,"[22.347980848644273, 0.0]",2.400000000000001
21.938808662174154,"[21.938808662174154, -6.561318034430061]",-23.877617324348307,"[21.938808662174154, 0.0]",2.500000000000001
21.282676858731147,"[21.282676858731147, -8.949079766864891]",-22.565353717462294,"[21.282676858731147, 0.0]",2.600000000000001
20.387768882044657,"[20.387768882044657, -11.20561513861112]",-20.775537764089314,"[20.387768882044657, 0.0]",2.700000000000001
19.267207368183545,"[19.267207368183545, -13.283168915020052]",-18.53441473636709,"[19.267207368183545, 0.0]",2.800000000000001
17.93889047668154,"[17.93889047668154, -15.136610388656761]",-15.877780953363079,"[17.93889047668154, 0.0]",2.9000000000000012
16.42522943781586,"[16.42522943781586, -16.724388483993067]",-12.850458875631723,"[16.42522943781586, 0.0]",3.0000000000000013
14.752790589416556,"[14.752790589416556, -18.00943437155624]",-9.505581178833111,"[14.752790589416556, 0.0]",3.1000000000000014
12.951847152260932,"[12.951847152260932, -18.95999248943955]",-5.9036943045218635,"[12.951847152260932, 0.0]",3.2000000000000015
11.055847903316977,"[11.055847903316977, -19.550361919891735]",-2.1116958066339535,"[11.055847903316977, 0.0]",3.3000000000000016
9.100811711327804,"[9.100811711327804, -19.76153150055513]",1.798376577344392,"[9.100811711327804, 0.0]",3.4000000000000017
7.124658561272291,"[7.124658561272291, -19.58169384282069]",5.750682877455418,"[7.124658561272291, 0.0]",3.5000000000000018
5.166489176990222,"[5.166489176990222, -19.00662555507515]",9.667021646019556,"[5.166489176990222, 0.0]",3.600000000000002
3.2658266214827067,"[3.2658266214827067, -18.039923390473195]",13.468346757034587,"[3.2658266214827067, 0.0]",3.700000000000002
1.4618342824353872,"[1.4618342824353872, -16.693088714769736]",17.076331435129227,"[1.4618342824353872, 0.0]",3.800000000000002
-0.20747458904158655,"[-0.20747458904158655, -14.985455571256814]",20.414949178083173,"[-0.20747458904158655, 0.0]",3.900000000000002
-1.7060201461672682,"[-1.7060201461672682, -12.943960653448496]",23.412040292334538,"[-1.7060201461672682, 0.0]",4.000000000000002
-3.0004162115121176,"[-3.0004162115121176, -10.602756624215042]",26.000832423024235,"[-3.0004162115121176, 0.0]",4.100000000000001
-4.060691873933622,"[-4.060691873933622, -8.002673381912619]",28.12138374786724,"[-4.060691873933622, 0.0]",4.200000000000001
-4.860959212124884,"[-4.860959212124884, -5.190535007125894]",29.72191842424977,"[-4.860959212124884, 0.0]",4.300000000000001
-5.380012712837473,"[-5.380012712837473, -2.2183431647009173]",30.760025425674947,"[-5.380012712837473, 0.0]",4.4
-5.601847029307565,"[-5.601847029307565, 0.8576593778665775]",31.203694058615127,"[-5.601847029307565, 0.0]",4.5
-5.516081091520907,"[-5.516081091520907, 3.9780287837280905]",31.032162183041812,"[-5.516081091520907, 0.0]",4.6
-5.118278213148098,"[-5.118278213148098, 7.081245002032272]",30.236556426296197,"[-5.118278213148098, 0.0]",4.699999999999999
-4.410153712944871,"[-4.410153712944871, 10.104900644661893]",28.820307425889744,"[-4.410153712944871, 0.0]",4.799999999999999
-3.3996636484786817,"[-3.3996636484786817, 12.986931387250866]",26.799327296957365,"[-3.3996636484786817, 0.0]",4.899999999999999
-2.100970509753595,"[-2.100970509753595, 15.666864116946602]",24.20194101950719,"[-2.100970509753595, 0.0]",4.999999999999998
-0.5342840980589347,"[-0.5342840980589347, 18.087058218897322]",41.068568196117866,"[-0.5342840980589347, 0.0]",5.099999999999998
1.2744217238307975,"[1.2744217238307975, 22.19391503850911]",37.451156552338404,"[1.2744217238307975, 0.0]",5.1999999999999975
3.4938132276817084,"[3.4938132276817084, 25.93903069374295]",33.01237354463658,"[3.4938132276817084, 0.0]",5.299999999999997
6.087716297056003,"[6.087716297056003, 29.24026804820661]",27.824567405887993,"[6.087716297056003, 0.0]",5.399999999999997
9.011743101876664,"[9.011743101876664, 32.02272478879541]",21.97651379624667,"[9.011743101876664, 0.0]",5.4999999999999964
12.214015580756206,"[12.214015580756206, 34.220376168420074]",15.571968838487589,"[12.214015580756206, 0.0]",5.599999999999996
15.636053197598214,"[15.636053197598214, 35.777573052268835]",8.727893604803572,"[15.636053197598214, 0.0]",5.699999999999996
19.213810502825098,"[19.213810502825098, 36.65036241274919]",1.5723789943498048,"[19.213810502825098, 0.0]",5.799999999999995
22.878846744100017,"[22.878846744100017, 36.80760031218417]",-5.757693488200033,"[22.878846744100017, 0.0]",5.899999999999995
26.559606775318436,"[26.559606775318436, 36.23183096336417]",-13.119213550636871,"[26.559606775318436, 0.0]",5.999999999999995
30.182789871654855,"[30.182789871654855, 34.91990960830048]",-20.36557974330971,"[30.182789871654855, 0.0]",6.099999999999994
33.6747808324849,"[33.6747808324849, 32.88335163396951]",-27.349561664969798,"[33.6747808324849, 0.0]",6.199999999999994
36.96311599588185,"[36.96311599588185, 30.148395467472533]",-33.9262319917637,"[36.96311599588185, 0.0]",6.299999999999994
39.977955542629104,"[39.977955542629104, 26.755772268296163]",-39.95591108525821,"[39.977955542629104, 0.0]",6.399999999999993
42.65353276945872,"[42.65353276945872, 22.76018115977034]",-45.30706553891744,"[42.65353276945872, 0.0]",6.499999999999993
44.92955088543575,"[44.92955088543575, 18.229474605878597]",-49.859101770871504,"[44.92955088543575, 0.0]",6.5999999999999925
46.752498346023614,"[46.752498346023614, 13.243564428791446]",-53.50499669204723,"[46.752498346023614, 0.0]",6.699999999999992
48.07685478890276,"[48.07685478890276, 7.893064759586723]",-56.153709577805515,"[48.07685478890276, 0.0]",6.799999999999992
48.86616126486143,"[48.86616126486143, 2.277693801806171]",-57.732322529722865,"[48.86616126486143, 0.0]",6.8999999999999915
49.09393064504205,"[49.09393064504205, -3.495538451166116]",-58.1878612900841,"[49.09393064504205, 0.0]",6.999999999999991
48.74437679992544,"[48.74437679992544, -9.314324580174526]",-57.48875359985088,"[48.74437679992544, 0.0]",7.099999999999991
47.812944341907986,"[47.812944341907986, -15.063199940159615]",-55.62588868381597,"[47.812944341907986, 0.0]",7.19999999999999
46.306624347892026,"[46.306624347892026, -20.625788808541213]",-52.61324869578405,"[46.306624347892026, 0.0]",7.29999999999999
44.24404546703791,"[44.24404546703791, -25.88711367811962]",-48.488090934075814,"[44.24404546703791, 0.0]",7.39999999999999
41.655334099225946,"[41.655334099225946, -30.7359227715272]",-43.31066819845189,"[41.655334099225946, 0.0]",7.499999999999989
38.581741822073226,"[38.581741822073226, -35.06698959137239]",-37.16348364414645,"[38.581741822073226, 0.0]",7.599999999999989
35.07504286293599,"[35.07504286293599, -38.78333795578703]",-30.150085725871975,"[35.07504286293599, 0.0]",7.699999999999989
31.196709067357283,"[31.196709067357283, -41.79834652837423]",-22.393418134714565,"[31.196709067357283, 0.0]",7.799999999999988
27.016874414519858,"[27.016874414519858, -44.03768834184569]",-14.033748829039716,"[27.016874414519858, 0.0]",7.899999999999988
22.61310558033529,"[22.61310558033529, -45.441063224749655]",-5.22621116067058,"[22.61310558033529, 0.0]",7.999999999999988
18.068999257860323,"[18.068999257860323, -45.96368434081671]",3.8620014842793537,"[18.068999257860323, 0.0]",8.099999999999987
13.472630823778651,"[13.472630823778651, -45.57748419238878]",13.054738352442698,"[13.472630823778651, 0.0]",8.199999999999987
8.914882404539773,"[8.914882404539773, -44.27201035714451]",22.170235190920454,"[8.914882404539773, 0.0]",8.299999999999986
4.487681368825322,"[4.487681368825322, -42.054986838052464]",31.02463726234936,"[4.487681368825322, 0.0]",8.399999999999986
0.28218268502007504,"[0.28218268502007504, -38.95252311181753]",39.43563462995985,"[0.28218268502007504, 0.0]",8.499999999999986
-3.613069626161678,"[-3.613069626161678, -35.008959648821545]",47.22613925232336,"[-3.613069626161678, 0.0]",8.599999999999985
-7.113965591043833,"[-7.113965591043833, -30.286345723589207]",54.227931182087666,"[-7.113965591043833, 0.0]",8.699999999999985
-10.142600163402754,"[-10.142600163402754, -24.86355260538044]",60.28520032680551,"[-10.142600163402754, 0.0]",8.799999999999985
-12.628955423940798,"[-12.628955423940798, -18.83503257269989]",65.25791084788159,"[-12.628955423940798, 0.0]",8.899999999999984
-14.512458681210788,"[-14.512458681210788, -12.30924148791173]",69.02491736242158,"[-14.512458681210788, 0.0]",8.999999999999984
-15.743382830001961,"[-15.743382830001961, -5.406749751669572]",71.48676566000393,"[-15.743382830001961, 0.0]",9.099999999999984
-16.284057805168917,"[-16.284057805168917, 1.7419268143308209]",72.56811561033783,"[-16.284057805168917, 0.0]",9.199999999999983
-16.109865123735837,"[-16.109865123735837, 8.998738375364603]",72.21973024747167,"[-16.109865123735837, 0.0]",9.299999999999983
-15.209991286199376,"[-15.209991286199376, 16.22071140011177]",70.41998257239875,"[-15.209991286199376, 0.0]",9.399999999999983
-13.587920146188198,"[-13.587920146188198, 23.262709657351646]",67.17584029237639,"[-13.587920146188198, 0.0]",9.499999999999982
-11.261649180453034,"[-11.261649180453034, 29.980293686589285]",62.52329836090607,"[-11.261649180453034, 0.0]",9.599999999999982
-8.263619811794106,"[-8.263619811794106, 36.232623522679894]",56.527239623588216,"[-8.263619811794106, 0.0]",9.699999999999982
-4.640357459526117,"[-4.640357459526117, 41.885347485038714]",49.28071491905223,"[-4.640357459526117, 0.0]",9.799999999999981
-0.4518227110222446,"[-0.4518227110222446, 46.813418976943936]",40.90364542204449,"[-0.4518227110222446, 0.0]",9.89999999999998
4.2295191866721495,"[4.2295191866721495, 50.903783519148384]",31.5409616266557,"[4.2295191866721495, 0.0]",9.99999999999998
